,Province,Year,GHG
115,Nunavut,2013,195520.35
116,Nunavut,2014,179859.0
117,Nunavut,2015,187192.19
118,Nunavut,2016,260336.14245
119,Nunavut,2017,382888.655
120,Nunavut,2018,507019.23876
121,Nunavut,2019,600838.91453
122,Ontario,2004,76989944.856555
123,Ontario,2005,78701595.3981
124,Ontario,2006,71579611.1123
125,Ontario,2007,74347601.85978201
126,Ontario,2008,67341286.350447
127,Ontario,2009,50078420.130641
128,Ontario,2010,56256358.781511
129,Ontario,2011,49700566.155224
130,Ontario,2012,50294983.528206
131,Ontario,2013,45667079.34371
132,Ontario,2014,43029701.728849
133,Ontario,2015,41852330.066548
134,Ontario,2016,41492249.36842
135,Ontario,2017,42773677.615188
136,Ontario,2018,45864670.367088
137,Ontario,2019,44207830.790019
138,Prince Edward Island,2004,107000.0
139,Prince Edward Island,2005,104329.8
140,Prince Edward Island,2006,99608.36281
141,Prince Edward Island,2007,101965.7609
142,Prince Edward Island,2008,98589.0
143,Prince Edward Island,2009,74103.0
144,Prince Edward Island,2010,62811.0
145,Prince Edward Island,2011,65119.37
146,Prince Edward Island,2012,52671.72109
147,Prince Edward Island,2013,59549.05252
148,Prince Edward Island,2014,55494.26237
149,Prince Edward Island,2015,50331.51172
150,Prince Edward Island,2016,55106.91078
151,Prince Edward Island,2017,99580.45300000001
152,Prince Edward Island,2018,95696.118835
153,Prince Edward Island,2019,83191.8859
154,Quebec,2004,23630961.148603
155,Quebec,2005,22571894.73932
156,Quebec,2006,22686698.335659
157,Quebec,2007,23610248.59288
158,Quebec,2008,20279730.039582
159,Quebec,2009,20843371.065497
160,Quebec,2010,21149163.190389
161,Quebec,2011,20535305.861237
162,Quebec,2012,21043977.174218
163,Quebec,2013,20174667.924992
164,Quebec,2014,20323062.434431
165,Quebec,2015,19969873.224905
166,Quebec,2016,19516036.060855
167,Quebec,2017,22638894.51084
168,Quebec,2018,21844060.14745
169,Quebec,2019,22872928.586107
170,Saskatchewan,2004,22180954.190299
171,Saskatchewan,2005,22611082.8186
172,Saskatchewan,2006,22117871.3799
173,Saskatchewan,2007,23002415.814485
174,Saskatchewan,2008,21935647.1944
175,Saskatchewan,2009,22460388.580682
176,Saskatchewan,2010,22861571.975580998
177,Saskatchewan,2011,22474821.807945
178,Saskatchewan,2012,23562120.52132
179,Saskatchewan,2013,23784578.350889
180,Saskatchewan,2014,23893259.02036
181,Saskatchewan,2015,24868681.98998
182,Saskatchewan,2016,25117279.633527998
183,Saskatchewan,2017,28932143.91569
184,Saskatchewan,2018,29371406.468675
185,Saskatchewan,2019,29033362.715855
186,Yukon,2009,11734.89792
187,Yukon,2010,11635.11523
188,Yukon,2011,12040.03939
189,Yukon,2012,12567.05904
190,Yukon,2013,12366.96196
191,Yukon,2014,12230.31347
192,Yukon,2015,11878.80022
193,Yukon,2016,12214.02343
194,Yukon,2017,30013.92022
195,Yukon,2018,35719.462660000005
196,Yukon,2019,36084.2102
