,ID,Year,GHG,Type,Province,District,Treatment_Group
44,G10054,2019,361651.4738,Fossil-fuel electric power generation,Alberta,Carseland,1
45,G10055,2019,138607.4169,Chemical fertilizer (except potash) manufacturing,Alberta,Carseland,1
46,G10057,2019,126751.75,Wet corn milling,Ontario,London,0
47,G10058,2019,292085.6111,Fossil-fuel electric power generation,Alberta,Calgary,1
48,G10059,2019,79895.06,Frozen food manufacturing,Prince Edward Island,New Annan,0
49,G10060,2019,1819601.885,Petroleum refineries,Saskatchewan,Regina,0
50,G10061,2019,135824.039,Fossil-fuel electric power generation,Quebec,"Cap-aux-Meules, Îles-de-la-Madeleine",0
51,G10064,2019,230167.6095,Petrochemical manufacturing,Quebec,Montréal-Est,0
52,G10065,2019,3386693.59,In-situ oil sands extraction,Alberta,Lac La Biche,1
53,G10066,2019,811665.5191,Cement manufacturing,Quebec,Saint-Basile,0
54,G10067,2019,758994.9844,Cement manufacturing,Quebec,Saint-Constant,0
55,G10068,2019,570957.0347,Fossil-fuel electric power generation,Alberta,Medicine Hat,1
56,G10069,2019,528672.462,Fossil-fuel electric power generation,Alberta,Edmonton,1
57,G10070,2019,13653.3336,Bituminous coal mining,British Columbia,Sparwood,0
58,G10071,2019,506471.999,Oil and gas extraction (except oil sands),Alberta,Cochrane,1
59,G10073,2019,5712207.778,In-situ oil sands extraction,Alberta,Grande Centre,1
60,G10074,2019,290480.59,Fossil-fuel electric power generation,New Brunswick,Saint John,0
61,G10075,2019,136574.1929,Other basic organic chemical manufacturing,Ontario,Chatham,0
62,G10076,2019,997650.74,Iron and steel mills and ferro-alloy manufacturing,Quebec,Sorel-Tracy,0
63,G10079,2019,35020.6555,Newsprint mills,Newfoundland and Labrador,Corner Brook,0
64,G10080,2019,600226.0116,Fossil-fuel electric power generation,Saskatchewan,Saskatoon,0
65,G10082,2019,182967.1136,Chemical pulp mills,British Columbia,Crofton,0
66,G10085,2019,763363.5496,Cement manufacturing,British Columbia,Delta,0
67,G10086,2019,148199.1784,Natural gas distribution,Alberta,Edmonton,1
68,G10088,2019,89987.884,Paperboard mills,Quebec,Trois-Rivières,0
69,G10089,2019,30060.103,Newsprint mills,Quebec,Saguenay,0
70,G10091,2019,4725210.32,Iron and steel mills and ferro-alloy manufacturing,Ontario,Hamilton,0
71,G10093,2019,220882.2636,Paper (except newsprint) mills,Ontario,Espanola,0
72,G10095,2019,36927.78,Waste treatment and disposal,Alberta,Calgary,1
73,G10096,2019,110243.5681,Oil and gas extraction (except oil sands),Alberta,Crossfield,1
74,G10097,2019,24210.9636,Resin and synthetic rubber manufacturing,Alberta,Edmonton,1
75,G10098,2019,1329807.229,Petroleum refineries,Alberta,Sherwood Park,1
76,G10099,2019,27667.4704,Chemical pulp mills,New Brunswick,Edmundston,0
77,G10100,2019,194860.237,Oil and gas extraction (except oil sands),Alberta,Edson,1
78,G10101,2019,165458.3607,Diamond mining,Northwest Territories,Yellowknife,0
79,G10103,2019,118962.1408,Iron and steel mills and ferro-alloy manufacturing,Quebec,Chicoutimi,0
80,G10104,2019,438736.5779,Pipeline transportation of natural gas,British Columbia,Cranbrook,0
81,G10105,2019,553623.4035,Bituminous coal mining,British Columbia,Sparwood,0
82,G10106,2019,206218.381,Oil and gas extraction (except oil sands),Alberta,Elmworth,1
83,G10107,2019,58606.2196,Oil and gas extraction (except oil sands),Alberta,Medicine Hat,1
84,G10108,2019,232198.3405,Oil and gas extraction (except oil sands),Alberta,Medicine Hat,1
85,G10111,2019,150553.5218,Lime manufacturing,Alberta,Exshaw,1
86,G10112,2019,1130041.972,Cement manufacturing,Alberta,Exshaw,1
87,G10113,2019,106660.449,Lime manufacturing,Manitoba,Faulkner,0
88,G10114,2019,401625.9079,Cement manufacturing,Ontario,Woodstock,0
89,G10115,2019,689103.7521,Bituminous coal mining,British Columbia,Elkford,0
90,G10117,2019,391056.2743,Oil and gas extraction (except oil sands),British Columbia,Fort Nelson,0
91,G10118,2019,218254.7944,Fossil-fuel electric power generation,British Columbia,Fort Nelson,0
92,G10119,2019,319972.3319,Non-ferrous metal (except aluminum) smelting and refining,Alberta,Fort Saskatchewan,1
93,G10120,2019,427744.4382,Fossil-fuel electric power generation,Alberta,Fort Saskatchewan,1
94,G10121,2019,645082.9623,Chemical fertilizer (except potash) manufacturing,Alberta,Fort Saskatchewan,1
95,G10122,2019,110706.0126,Oil and gas extraction (except oil sands),Alberta,Fort Saskatchewan,1
96,G10125,2019,95872.638,Other basic organic chemical manufacturing,Alberta,Fort Saskatchewan,1
97,G10126,2019,135194.3612,Oil and gas extraction (except oil sands),British Columbia,Fort St. John,0
98,G10127,2019,8856244.44,Fossil-fuel electric power generation,Alberta,Warburg,1
99,G10128,2019,110310.0197,Iron and steel mills and ferro-alloy manufacturing,Ontario,Whitby,0
100,G10130,2019,177777.3735,Chemical pulp mills,Alberta,Grande Prairie,1
101,G10131,2019,441986.5239,Bituminous coal mining,British Columbia,Elkford,0
102,G10132,2019,375864.7212,Fossil-fuel electric power generation,Alberta,Grande Cache,1
103,G10133,2019,215343.865,All other basic inorganic chemical manufacturing,Ontario,Hamilton,0
104,G10135,2019,160335.6235,Oil and gas extraction (except oil sands),Alberta,Edson,1
105,G10136,2019,123267.05,Chemical pulp mills,British Columbia,Nanaimo,0
106,G10137,2019,413196.09,Oil and gas extraction (except oil sands),Alberta,Didsbury,1
107,G10138,2019,59490.3041,Lime manufacturing,New Brunswick,Havelock,0
108,G10139,2019,41889.85771,Oil and gas extraction (except oil sands),Alberta,Alberta,1
109,G10140,2019,28901.087,Copper-zinc ore mining,Manitoba,Flin Flon,0
110,G10141,2019,14301.42645,Spring (heavy gauge) manufacturing,Ontario,Stratford,0
111,G10142,2019,504504.6414,Oil and gas extraction (except oil sands),Newfoundland and Labrador,St. John's,0
112,G10143,2019,70951.3698,Subbituminous coal mining,Alberta,Seba Beach,1
113,G10144,2019,199312.3024,Chemical pulp mills,Alberta,Hinton,1
114,G10145,2019,1081579.0,Fossil-fuel electric power generation,Newfoundland and Labrador,Holyrood,0
115,G10146,2019,101772.62,Chemical pulp mills,British Columbia,Port Mellon,0
116,G10147,2019,1184592.458,Oil and gas extraction (except oil sands),Saskatchewan,Lloydminster,0
117,G10148,2019,117228.35,Other basic organic chemical manufacturing,Quebec,Montréal,0
118,G10149,2019,94926.9764,Other basic organic chemical manufacturing,Ontario,Maitland,0
119,G10150,2019,205762.3954,Iron and steel mills and ferro-alloy manufacturing,Saskatchewan,Regina,0
120,G10151,2019,2971.16629,Fossil-fuel electric power generation,Ontario,Iroquois Falls,0
121,G10152,2019,170951.0076,Petrochemical manufacturing,Alberta,Joffre,1
122,G10154,2019,784823.17,Cement manufacturing,Quebec,Joliette,0
123,G10155,2019,45719.053,Oil and gas extraction (except oil sands),Alberta,Swan Hills,1
124,G10157,2019,109004.7423,Chemical pulp mills,British Columbia,Kamloops,0
125,G10158,2019,78648.543,Oil and gas extraction (except oil sands),Alberta,Alberta,1
126,G10159,2019,205369.2338,Oil and gas extraction (except oil sands),Alberta,Fox Creek,1
127,G10160,2019,324264.3052,Oil and gas extraction (except oil sands),Alberta,Fox Creek,1
128,G10161,2019,244711.991,Waste treatment and disposal,Ontario,Maple,0
129,G10162,2019,7643634.878,Fossil-fuel electric power generation,Alberta,Duffield,1
130,G10163,2019,804551.6272,Pipeline transportation of natural gas,Ontario,Kenora,0
131,G10164,2019,35426.60034,Copper-zinc ore mining,Ontario,Timmins/District of Cochrane,0
132,G10165,2019,256862.957,Fossil-fuel electric power generation,Ontario,Kirkland Lake,0
133,G10168,2019,176994.9197,All other basic inorganic chemical manufacturing,Quebec,Varennes,0
134,G10169,2019,74406.589,Paper (except newsprint) mills,Quebec,Trois-Rivières,0
135,G10170,2019,637944.3234,Cement manufacturing,British Columbia,Richmond,0
136,G10171,2019,635641.4897,Cement manufacturing,Ontario,Bath,0
137,G10176,2019,558537.057,Cement manufacturing,Alberta,Edmonton,1
138,G10177,2019,83729.66,Fossil-fuel electric power generation,Ontario,Greater Napanee,0
139,G10178,2019,2495899.788,Fossil-fuel electric power generation,Nova Scotia,Lingan,0
140,G10179,2019,760590.8048,Fossil-fuel electric power generation,Alberta,Fort McMurray,1
141,G10180,2019,390495.0973,In-situ oil sands extraction,Alberta,Fort McMurray,1
142,G10181,2019,120667.2326,Chemical pulp mills,British Columbia,MacKenzie,0
143,G10182,2019,64754.86098,Paper (except newsprint) mills,Manitoba,The Pas,0
144,G10183,2019,204947.486,Lime manufacturing,Quebec,Marbleton,0
145,G10184,2019,469455.7907,Fossil-fuel electric power generation,British Columbia,Taylor,0
146,G10185,2019,144568.0487,Oil and gas extraction (except oil sands),British Columbia,Taylor,0
147,G10186,2019,856761.579,Fossil-fuel electric power generation,Saskatchewan,Lloydminster,0
148,G10187,2019,12254158.02,Mined oil sands extraction,Alberta,Fort McMurray,1
149,G10188,2019,254732.3105,Iron ore mining,Quebec,Fermont,0
150,G10191,2019,433388.6492,Other petroleum and coal product manufacturing,Ontario,Mississauga,0
151,G10192,2019,1074476.848,Cement manufacturing,Ontario,Mississauga,0
152,G10193,2019,111394.3032,Waste treatment and disposal,Ontario,Brantford,0
153,G10195,2019,680467.925,Potash mining,Saskatchewan,Belle Plaine,0
154,G10196,2019,1393552.648,Fossil-fuel electric power generation,Alberta,Fort McMurray,1
155,G10199,2019,961755.8854,Petroleum refineries,Ontario,Nanticoke,0
156,G10202,2019,61799.536,Oil and gas extraction (except oil sands),Alberta,Stettler,1
157,G10203,2019,2320.4222,Fossil-fuel electric power generation,Ontario,Nipigon,0
158,G10204,2019,89593.70493,Oil and gas extraction (except oil sands),Northwest Territories,Norman Wells,0
159,G10206,2019,1440380.92,Petroleum refineries,Newfoundland and Labrador,Come by Chance,0
160,G10207,2019,206127.6647,Chemical pulp mills,British Columbia,Prince George,0
161,G10208,2019,946289.699,Petrochemical manufacturing,Ontario,Corunna,0
162,G10209,2019,122459.3879,Petrochemical manufacturing,Ontario,Sarnia,0
163,G10210,2019,65384.94904,Resin and synthetic rubber manufacturing,Ontario,Corunna,0
164,G10211,2019,3531374.052,Petrochemical manufacturing,Alberta,Lacombe,1
165,G10213,2019,101880.531,Other motor vehicle parts manufacturing,Ontario,Oshawa,0
166,G10215,2019,31576.93479,Fossil-fuel electric power generation,Ontario,Ottawa,0
167,G10217,2019,62439.7645,Chemical pulp mills,Quebec,Thurso,0
168,G10219,2019,256965.8735,In-situ oil sands extraction,Alberta,Peace River,1
169,G10220,2019,146197.9632,Chemical pulp mills,Alberta,MD of Northern Lights,1
170,G10221,2019,69372.39,Petrochemical manufacturing,Quebec,Bécancour,0
171,G10223,2019,540233.764,Cement manufacturing,Ontario,Picton,0
172,G10224,2019,11366.69,Oil and gas extraction (except oil sands),Saskatchewan,Lloydminster,0
173,G10225,2019,262574.405,Oil and gas extraction (except oil sands),British Columbia,Peace River District,0
174,G10226,2019,1120308.249,Pipeline transportation of natural gas,British Columbia,Prince George,0
175,G10227,2019,1025647.035,Fossil-fuel electric power generation,Nova Scotia,Point Aconi,0
176,G10228,2019,809171.1642,Fossil-fuel electric power generation,Nova Scotia,Port Hawkesbury,0
177,G10229,2019,3575289.39,Fossil-fuel electric power generation,Saskatchewan,Coronach,0
178,G10230,2019,27844.2622,Paper (except newsprint) mills,British Columbia,Port Alberni,0
179,G10231,2019,49290.8812,Mechanical pulp mills,British Columbia,Powell River,0
180,G10232,2019,130431.6148,Other basic organic chemical manufacturing,Alberta,Lacombe County,1
181,G10234,2019,110828.6497,Petroleum refineries,British Columbia,Prince George,0
182,G10235,2019,35514.388,Oil and gas extraction (except oil sands),Alberta,Alberta,1
183,G10236,2019,1604259.593,Fossil-fuel electric power generation,Saskatchewan,Saskatoon,0
184,G10237,2019,84319.215,Oil and gas extraction (except oil sands),Alberta,Millarville,1
185,G10238,2019,1140365.92,Petroleum refineries,Quebec,Montreal,0
186,G10239,2019,1331301.2,Petroleum refineries,Quebec,Lévis,0
187,G10240,2019,142775.8938,Nickel-copper ore mining,Quebec,Rouyn-Noranda,0
188,G10241,2019,309048.9222,Fossil-fuel electric power generation,Alberta,Rainbow Lake,1
189,G10243,2019,339106.8611,Oil and gas extraction (except oil sands),Alberta,Rocky Mountain House,1
190,G10244,2019,307968.1221,Pipeline transportation of natural gas,Manitoba,Winnipeg,0
191,G10246,2019,199580.2369,Fossil-fuel electric power generation,Alberta,Redwater,1
192,G10247,2019,2980111.918,Petroleum refineries,New Brunswick,Saint John,0
193,G10248,2019,189394.4118,Pipeline transportation of natural gas,Saskatchewan,Richmond,0
194,G10249,2019,367875.952,Oil and gas extraction (except oil sands),Alberta,Rimbey,1
195,G10250,2019,277094.5599,Petrochemical manufacturing,Ontario,Sarnia,0
196,G10251,2019,387789.2932,Fossil-fuel electric power generation,Ontario,Sarnia,0
197,G10252,2019,175331.792,Oil and gas extraction (except oil sands),Ontario,Sarnia,0
198,G10253,2019,707998.0406,Petroleum refineries,Ontario,Corunna,0
199,G10254,2019,770940.8117,Petroleum refineries,Ontario,Sarnia,0
200,G10255,2019,1238724.665,Petroleum refineries,Ontario,Sarnia,0
201,G10256,2019,1038842.798,Fossil-fuel electric power generation,Ontario,Sarnia,0
202,G10257,2019,417426.0324,Pipeline transportation of natural gas,Saskatchewan,Calgary,0
203,G10258,2019,78548.56,Natural gas distribution,Saskatchewan,Regina,0
204,G10259,2019,573941.892,Chemical fertilizer (except potash) manufacturing,Saskatchewan,Belle Plaine,0
205,G10260,2019,312098.3677,Petrochemical manufacturing,Alberta,"Fort Saskatchewan,Strathcona County",1
206,G10261,2019,483836.99,Fossil-fuel electric power generation,Alberta,Fort Saskatchewan,1
207,G10262,2019,2594782.974,Mined oil sands extraction,Alberta,Fort Saskatchewan,1
208,G10263,2019,109542.516,Chemical pulp mills,Quebec,St-Félicien,0
209,G10264,2019,2342776.257,Fossil-fuel electric power generation,Saskatchewan,Estevan,0
210,G10265,2019,4767195.84,Fossil-fuel electric power generation,Alberta,Hanna,1
211,G10267,2019,287721.3923,Oil and gas extraction (except oil sands),Alberta,Caroline,1
212,G10268,2019,215998.9658,Oil and gas extraction (except oil sands),Alberta,Calgary,1
213,G10269,2019,1010504.105,Petroleum refineries,Alberta,Fort Saskatchewan,1
214,G10271,2019,693926.1533,Chemical fertilizer (except potash) manufacturing,Manitoba,Brandon,0
215,G10272,2019,170190.74,Chemical pulp mills,Quebec,Témiscaming,0
216,G10273,2019,1342802.921,Cement manufacturing,Ontario,Bowmanville,0
217,G10274,2019,514251.9458,Cement manufacturing,Ontario,St. Marys,0
218,G10275,2019,286860.4588,Iron and steel mills and ferro-alloy manufacturing,Ontario,Hamilton,0
219,G10276,2019,3551385.716,Iron and steel mills and ferro-alloy manufacturing,Ontario,Haldimand County,0
220,G10277,2019,138239.719,Oil and gas extraction (except oil sands),Alberta,Rocky Mountain House,1
221,G10278,2019,1571992.75,Petroleum refineries,Alberta,Edmonton,1
222,G10279,2019,75887.0,Waste treatment and disposal,Manitoba,Winnipeg,0
223,G10281,2019,2214510.639,Fossil-fuel electric power generation,Alberta,Duffield,1
224,G10283,2019,774476.4223,Chemical fertilizer (except potash) manufacturing,Ontario,Courtright,0
225,G10284,2019,519692.3496,Oil and gas extraction (except oil sands),Newfoundland and Labrador,St. John's,0
226,G10285,2019,145197.1086,Chemical pulp mills,Ontario,Terrace Bay,0
227,G10289,2019,436306.3147,Non-ferrous metal (except aluminum) smelting and refining,British Columbia,Trail,0
228,G10290,2019,238538.395,Pipeline transportation of natural gas,Saskatchewan,Regina,0
229,G10291,2019,1482938.396,Fossil-fuel electric power generation,Nova Scotia,Trenton,0
230,G10292,2019,775823.9188,Fossil-fuel electric power generation,Nova Scotia,Dartmouth,0
231,G10293,2019,4604.8838,Fossil-fuel electric power generation,Ontario,Tunis,0
232,G10295,2019,861632.1319,Primary production of alumina and aluminum,Quebec,Alma,0
233,G10296,2019,596912.33,Primary production of alumina and aluminum,Quebec,Saguenay,0
234,G10297,2019,12201.828,Primary production of alumina and aluminum,Quebec,Melocheville,0
235,G10298,2019,19126.336,Alkali and chlorine manufacturing,Quebec,Bécancour,0
236,G10299,2019,921483.9792,Iron ore mining,Quebec,Port-Cartier,0
237,G10300,2019,497768.351,Primary production of alumina and aluminum,Quebec,Deschambault,0
238,G10302,2019,205230.71,Paperboard mills,Quebec,La Tuque,0
239,G10304,2019,18834.2736,Newsprint mills,Quebec,Québec,0
240,G10306,2019,532699.016,Primary production of alumina and aluminum,Quebec,La Baie,0
241,G10307,2019,499365.448,Primary production of alumina and aluminum,Quebec,Laterricre,0
242,G10310,2019,102025.115,Waste treatment and disposal,Ontario,London,0
243,G10312,2019,120170.3876,Oil and gas extraction (except oil sands),Alberta,Alberta,1
244,G10313,2019,282636.578,Oil and gas extraction (except oil sands),Alberta,Pincher Creek,1
245,G10315,2019,15047.74464,Fossil-fuel electric power generation,Ontario,Windsor,0
246,G10316,2019,1086192.957,Petrochemical manufacturing,Alberta,Fort Saskatchewan,1
247,G10318,2019,91377.6889,Chemical pulp mills,Ontario,Dryden,0
248,G10319,2019,128659.0062,Fossil-fuel electric power generation,Ontario,Whitby,0
249,G10321,2019,125946.8283,Oil and gas extraction (except oil sands),Alberta,Cochrane,1
250,G10323,2019,10963.72668,Fossil-fuel electric power generation,Ontario,Windsor,0
251,G10324,2019,3569779.15,In-situ oil sands extraction,Alberta,Bonnyville,1
252,G10327,2019,123633.5595,Other petroleum and coal product manufacturing,Alberta,Sherwood Park,1
253,G10328,2019,82268.0861,Lignite coal mining,Saskatchewan,estevan,0
254,G10329,2019,487361.4967,Oil and gas extraction (except oil sands),Saskatchewan,Lloydminster,0
255,G10330,2019,23626.671,Tire manufacturing,Quebec,Joliette,0
256,G10332,2019,27717.43076,Waste treatment and disposal,Ontario,Hamilton,0
257,G10334,2019,95818.1874,Paper (except newsprint) mills,New Brunswick,Saint John,0
258,G10337,2019,153236.475,Waste treatment and disposal,Ontario,Niagara Falls,0
259,G10338,2019,94694.144,In-situ oil sands extraction,Saskatchewan,Saskatchewan,0
260,G10341,2019,134901.0649,Fossil-fuel electric power generation,Alberta,Grande Prairie,1
261,G10342,2019,209876.31,Chemical pulp mills,British Columbia,Prince George,0
262,G10343,2019,331150.0,Waste treatment and disposal,Ontario,Blenheim,0
263,G10344,2019,56900.43514,Waste treatment and disposal,Quebec,Sainte Sophie,0
264,G10346,2019,137644.9509,Natural gas distribution,British Columbia,Surrey,0
265,G10348,2019,15491.1573,Waste treatment and disposal,Ontario,Ottawa,0
266,G10349,2019,128134.4606,Fossil-fuel electric power generation,Alberta,Valleyview,1
267,G10351,2019,65346.691,Distilleries,Ontario,Windsor,0
268,G10352,2019,12627.3583,Waste treatment and disposal,Alberta,Edmonton,1
269,G10353,2019,31792.073,Oil and gas extraction (except oil sands),Saskatchewan,Weyburn,0
270,G10354,2019,258199.456,Oil and gas extraction (except oil sands),Newfoundland and Labrador,St John's,0
271,G10355,2019,75930.33027,Chemical pulp mills,New Brunswick,Nackawic,0
272,G10356,2019,205371.9978,Fossil-fuel electric power generation,Alberta,Rocky View County,1
273,G10357,2019,80855.5102,Fossil-fuel electric power generation,Quebec,Bécancour,0
274,G10358,2019,71524.7941,Waste treatment and disposal,Ontario,Guelph,0
275,G10359,2019,129857.3988,Bituminous coal mining,Alberta,Edson,1
276,G10360,2019,578493.4233,Industrial gas manufacturing,Ontario,Corunna,0
277,G10361,2019,1244229.501,Industrial gas manufacturing,Alberta,Edmonton,1
278,G10364,2019,112375.0,Waste treatment and disposal,Ontario,Lakeshore,0
279,G10365,2019,232827.2717,Waste treatment and disposal,Ontario,Essex,0
280,G10366,2019,66324.009,Other support activities for air transportation,Ontario,Mississauga,0
281,G10368,2019,24233.174,Oil and gas extraction (except oil sands),Alberta,Alberta,1
282,G10369,2019,90539.0796,Iron and steel mills and ferro-alloy manufacturing,Quebec,Contrecoeur,0
283,G10370,2019,182027.4454,Polystyrene foam product manufacturing,Quebec,Valleyfield,0
284,G10371,2019,100769.5123,Oil and gas extraction (except oil sands),Alberta,Olds,1
285,G10373,2019,73451.917,Glass manufacturing,Ontario,Brampton,0
286,G10375,2019,41590.94673,Resin and synthetic rubber manufacturing,Alberta,Lacombe County,1
287,G10376,2019,167550.0,Waste treatment and disposal,Ontario,Mississauga,0
288,G10379,2019,13785.0,Waste collection,Ontario,Kingsville,0
289,G10380,2019,245496.476,Fossil-fuel electric power generation,Alberta,Grande Prairie,1
290,G10381,2019,200885.834,Diamond mining,Northwest Territories,Yellowknife,0
291,G10382,2019,752.57,All other miscellaneous manufacturing,Alberta,Edmonton,1
292,G10383,2019,1519.17,All other miscellaneous manufacturing,Manitoba,Sunnyside,0
293,G10384,2019,36905.683,Oil and gas extraction (except oil sands),Nova Scotia,Goldboro,0
294,G10385,2019,191532.4924,Copper-zinc ore mining,British Columbia,Logan Lake,0
295,G10386,2019,91361.34093,Chemical pulp mills,New Brunswick,Saint John,0
296,G10388,2019,264915.0224,Bituminous coal mining,British Columbia,Sparwood,0
297,G10389,2019,36502.147,Other basic organic chemical manufacturing,Saskatchewan,Lloydminster,0
298,G10390,2019,1687855.596,In-situ oil sands extraction,Alberta,Anzac,1
299,G10392,2019,1512.516,All other miscellaneous manufacturing,Alberta,Calgary,1
300,G10394,2019,862550.9486,In-situ oil sands extraction,Alberta,Bonneville,1
301,G10398,2019,110649.904,Non-ferrous metal (except aluminum) smelting and refining,Ontario,Falconbridge,0
302,G10399,2019,53642.38258,Bituminous coal mining,British Columbia,Chetwynd,0
303,G10400,2019,110135.4137,Bituminous coal mining,British Columbia,Tumbler Ridge,0
304,G10401,2019,42454.67,All other waste management services,Quebec,Terrebonne,0
305,G10402,2019,113443.0264,Bituminous coal mining,Alberta,Hinton,1
306,G10404,2019,21840.00252,Sewage treatment facilities,Ontario,Pickering,0
307,G10406,2019,212159.253,In-situ oil sands extraction,Alberta,Fort McMurray,1
308,G10407,2019,922588.958,Fossil-fuel electric power generation,Ontario,Courtright,0
309,G10408,2019,5321185.701,Mined oil sands extraction,Alberta,Fort McMurray,1
310,G10410,2019,142.131086,Fossil-fuel electric power generation,Ontario,Kapuskasing,0
311,G10411,2019,76082.234,Other basic organic chemical manufacturing,Manitoba,Minnedosa,0
312,G10412,2019,464536.1205,In-situ oil sands extraction,Alberta,no physical address,1
313,G10413,2019,448511.35,Fossil-fuel electric power generation,Ontario,Toronto,0
314,G10414,2019,2938069.827,In-situ oil sands extraction,Alberta,Anzac,1
315,G10415,2019,30457.24751,Other basic organic chemical manufacturing,Ontario,Tiverton,0
316,G10416,2019,73168.1496,Oilseed processing,Ontario,Windsor,0
317,G10417,2019,46871.209,Oil and gas extraction (except oil sands),Alberta,Medicine Hat,1
318,G10419,2019,70797.9004,Potash mining,Saskatchewan,Vanscoy,0
319,G10420,2019,89856.25741,Iron and steel mills and ferro-alloy manufacturing,Alberta,Edmonton,1
320,G10421,2019,160278.1424,All other non-metallic mineral product manufacturing,Alberta,Exshaw,1
321,G10423,2019,54164.9852,Oilseed processing,Ontario,Hamilton,0
322,G10426,2019,33616.7924,Mechanical pulp mills,British Columbia,Taylor,0
323,G10427,2019,75116.1231,Gypsum product manufacturing,Ontario,Hagersville,0
324,G10428,2019,46197.004,Oil and gas extraction (except oil sands),Alberta,Alberta,1
325,G10429,2019,71715.918,Oil and gas extraction (except oil sands),Alberta,Alberta,1
326,G10430,2019,96901.078,Oil and gas extraction (except oil sands),British Columbia,British Columbia,0
327,G10431,2019,28762.431,Oil and gas extraction (except oil sands),Alberta,Alberta,1
328,G10432,2019,143.650159,Fossil-fuel electric power generation,Ontario,North Bay,0
329,G10433,2019,68358.93245,Waste treatment and disposal,British Columbia,Victoria,0
330,G10434,2019,59534.34698,Paperboard mills,Ontario,Trenton,0
331,G10435,2019,43105.812,Oil and gas extraction (except oil sands),Alberta,Alberta,1
332,G10436,2019,21525.329,Oil and gas extraction (except oil sands),Alberta,Alberta,1
